A1QR76SYGTXJN5,073533417X,4.0,1357516800
A1W415JP5WEAJK,073533417X,4.0,1357171200
AD0WUBKBO21KK,073533417X,5.0,1355875200
A1II2ZRPKZAQQD,073533417X,4.0,1354233600
AYWHCM0TJ4737,073533417X,5.0,1352851200
ADY836HK6QSYR,073533417X,4.0,1358812800
A2877AOHJFZI0E,073533417X,5.0,1351987200
A3I9XZGYARBLS4,073533417X,4.0,1398297600
A2CNGARED6OWWU,073533417X,4.0,1358294400
A3OXRFCJI67IMN,073533417X,5.0,1357344000
A3EK2KTYHJCPB9,073533417X,4.0,1357084800
A2RX62V4E2BF5Z,073533417X,4.0,1357084800
A1X3ESYZ79H59E,073533417X,5.0,1358208000
A2C1Y5F8DE9H6P,073533417X,4.0,1353888000
A16EIVIBBXFAQ0,073533417X,4.0,1353369600
A25CZCHLNH3OMO,073533417X,4.0,1353542400
A10E3F50DIUJEE,073533417X,4.0,1351814400
A10ZBR6O8S8OCY,073533417X,5.0,1357603200
AY3D7DG5L5WCK,073533417X,5.0,1357084800
A5K3CK2PWYQ7O,073533417X,3.0,1352592000
A2503LT8PZIHAD,073533417X,4.0,1357344000
A2P739KOM4U5JB,073533417X,3.0,1358208000
A1VYFEJM12ZP11,073533417X,5.0,1357171200
A3A8FMW6BDJ166,073533417X,5.0,1354492800
A33X80DIINN48Y,073533417X,5.0,1354492800
A24U6WGBZ4P74W,073533417X,4.0,1356480000
A26EQ8U96JA92T,073533417X,5.0,1353628800
A34CSXOGVYF94S,073533417X,4.0,1356739200
A3T8WOFS5RD2IR,073533417X,5.0,1352332800
A1DY0CRKZEY0FB,073533417X,4.0,1355875200
A3VI2VETB90ZG5,073533417X,4.0,1357171200
AJQDIT55SZ3ZX,073533417X,5.0,1357084800
A4VMQ6ZTSXSSL,073533417X,4.0,1358467200
A1PI8VBCXXSGC7,073533417X,5.0,1356825600
A9NXTC0HTPSDO,073533417X,5.0,1359849600
A1UQBFCERIP7VJ,073533417X,4.0,1357257600
A1KI3173CO6TK2,073533417X,4.0,1353974400
A2QDOJFFLFGF18,073533417X,5.0,1358294400
AGEKVD8JPZQMT,073533417X,4.0,1352160000
A376OJHLE6SU9Q,073533417X,5.0,1357689600
AT28RL25Q2OLK,073533417X,4.0,1356825600
A231LBC8EGPO5L,073533417X,5.0,1357171200
A2ZKQC0XCIIAEM,073533417X,5.0,1357084800
A1NC9AGZOBI0M1,073533417X,4.0,1352332800
A2BZ16RKE13PKV,073533417X,5.0,1356825600
ALQ4USPEQ9L5N,073533417X,5.0,1353974400
A3JHC8O59WDHFZ,073533417X,5.0,1357257600
A33VI944SO2YCN,073533417X,5.0,1355270400
